监测点名称	监测点类型	监测点编号
主跨L/8上游ND	挠度	L4_ND11_1
主跨L/8下游ND	挠度	L4_ND12_1
主跨L/4截面上游ND	挠度	L5_ND21_1
主跨L/4截面下游ND	挠度	L5_ND22_1
主跨3L/8截面上游ND	挠度	L6_ND31_1
主跨3L/8截面下游ND	挠度	L6_ND32_1
主跨L/2截面上游ND	挠度	L7_ND41_1
主跨L/2截面下游ND	挠度	L7_ND42_1
主跨5L/8截面上游ND	挠度	L8_ND51_1
主跨5L/8截面下游ND	挠度	L8_ND52_1
主跨3L/4截面上游ND	挠度	L9_ND61_1
主跨3L/4截面下游ND	挠度	L9_ND62_1
主跨7L/8截面上游ND	挠度	L10_ND71_1
主跨7L/8截面下游ND	挠度	L10_ND72_1
主跨L/2FS	风速风向	L7_FS21_1
T1塔顶（北）FS	风速风向	T1_FS11_1
T3塔顶（南）FS	风速风向	T3_FS31_1
主跨L/2WSD	温湿度	L7_WSD11_1
主跨L/2 钢箱梁内WSD	温湿度	L7_WSD12_1
边跨龙宝片区侧L1（竖向）ZY1	支座位移	L1_ZY11_1
边跨龙宝片区侧L1（竖向）ZY2	支座位移	L1_ZY12_1
龙宝片区侧主塔L3（纵向）ZY1	支座位移	L3_ZY21_1
龙宝片区侧主塔L3（纵向）ZY2	支座位移	L3_ZY22_1
江南新区侧主塔L11（纵向）ZY	支座位移	L11_ZY31_1
2_1江南新区侧主塔L11（纵向）ZY	支座位移	L11_ZY3
边跨江南新区侧L13（竖向）ZY1	支座位移	L13_ZY41_1
边跨江南新区侧L13（竖向）ZY2	支座位移	L13_ZY42_1
P1采集站至S1截面斜拉索上游南	索力	S1_SL11_1
P1采集站至S1截面斜拉索下游南	索力	S1_SL12_1
P1采集站至S2截面斜拉索上游南	索力	S2_SL21_1
P1采集站至S2截面斜拉索下游南	索力	S2_SL22_1
P1采集站至S3截面斜拉索上游南	索力	S3_SL31_1
P1采集站至S3截面斜拉索下游南	索力	S3_SL32_1
P1采集站至S4截面斜拉索上游南	索力	S4_SL41_1
P1采集站至S4截面斜拉索下游南	索力	S4_SL42_1
P1采集站至S5截面斜拉索上游南	索力	S5_SL51_1
P1采集站至S5截面斜拉索下游南	索力	S5_SL52_1
P1采集站至S6截面斜拉索上游南	索力	S6_SL61_1
P1采集站至S6截面斜拉索下游南	索力	S6_SL62_1
P1采集站至S7截面斜拉索上游南	索力	S7_SL71_1
P1采集站至S7截面斜拉索下游南	索力	S7_SL72_1
P1采集站至S8截面斜拉索上游南	索力	S8_SL81_1
P1采集站至S8截面斜拉索下游南	索力	S8_SL82_1
